Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
ATIVOS S/A SECURITIZADORA DE CREDITOS FINANCEIROS;ATIVOS;900431;5437257000129;Não Classificados;N/A
ATLANTIC ENERGIAS RENOVAVEIS S/A;ATLANTIC;900407;11489312000127;Não Classificados;N/A
ATLAS BRASIL ENERGIA HOLDING 4 S.A;ATLAS BRASIL;900527;49381686000105;Não Classificados;N/A
ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A.;ATLAS LUIZ;900260;49037416000173;Não Classificados;N/A
ATLAS PROJECT HOLDING 2 S.A ;ATLAS PROJEC;900467;52781067000104;Não Classificados;N/A
ATLETICO MINEIRO S.A.F. ;ATLETICO MG;900408;52177416000183;Não Classificados;N/A
ATMA PARTICIPAÇÕES S.A.;ATMASA;19100;4032433000180;Serviços Diversos;ATMP3
ATOM EDUCAÇÃO E EDITORA S.A.;ATOM EDUC;27677;23994857000170;Serviços Educacionais;ATED3
ATRIUM EMPREENDIMENTOS IMOBILIARIOS S/A;ATRIUMEMP;900423;2766836000127;Não Classificados;N/A
ATTEND AMBIENTAL S.A.;ATTEND;911651;13039389000120;Não Classificados;N/A
ATVOS AGROINDUSTRIAL PARTICIPACOES SA;ATVOSAGRO;900449;8842690000138;Não Classificados;N/A
AUCKLAND PARTICIPACOES S.A.;AUCKLAND;900456;19492543000100;Não Classificados;N/A
AURA ALMAS MINERAÇÃO S.A.;AURAALMASMIN;26590;8213823000107;Minerais Metálicos;N/A
AURA MINERALS INC.;AURA 360;80187;7857093000114;Minerais Metálicos;AURA33
AURATUS EMPREENDIMENTOS IMOBILIARIOS  S/A;AURATUS;900464;6988441000120;Não Classificados;N/A
AUREN ENERGIA S.A.;AUREN;26620;28594234000123;Energia Elétrica;AURE3, AURE99
AUREN OPERAÇÕES S.A.;AESOPERACOES;26174;194724000113;Energia Elétrica;AESO3
AUREN PARTICIPAÇÕES S.A.;AES BRASIL;25640;37663076000107;Energia Elétrica;N/A
AUTO POSTO MONTE CARLO ONDA VERDE LTDA.;MONTE CARLO;900131;5867856000182;Não Classificados;N/A
AUTO RICCI S.A.;AUTORICCI;907329;282862000154;Não Classificados;N/A
AUTOGERACAO SOLAR COMPARTILHADA SUDESTE S.A.;AUTOGE SOLAR;900102;48984443000190;Não Classificados;N/A
AUTOGERACAO SOLAR HOLDING S.A.;AUTOGERACAO;916445;41750028000123;Não Classificados;N/A
